Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCA_003412915.1	ASM341291v1	Pseudomonas savastanoi pv. phaseolicola		531					PRJNA481030	SAMN09655443
GCF_003412915.1	ASM341291v1	Pseudomonas savastanoi pv. phaseolicola		531					PRJNA481030	SAMN09655443
GCA_003413425.1	ASM341342v1	Pseudomonas savastanoi pv. phaseolicola		514					PRJNA481030	SAMN09655426
GCF_003413425.1	ASM341342v1	Pseudomonas savastanoi pv. phaseolicola		514					PRJNA481030	SAMN09655426
GCA_003413385.1	ASM341338v1	Pseudomonas savastanoi pv. phaseolicola		517					PRJNA481030	SAMN09655429
GCF_003413385.1	ASM341338v1	Pseudomonas savastanoi pv. phaseolicola		517					PRJNA481030	SAMN09655429
GCA_003413345.1	ASM341334v1	Pseudomonas savastanoi pv. phaseolicola		518					PRJNA481030	SAMN09655430
GCF_003413345.1	ASM341334v1	Pseudomonas savastanoi pv. phaseolicola		518					PRJNA481030	SAMN09655430
GCA_001467115.1	ASM146711v1	Pseudomonas savastanoi		ICMP 19499					PRJNA295867	SAMN04092560
GCF_001467115.1	ASM146711v1	Pseudomonas savastanoi		ICMP 19499					PRJNA295867	SAMN04092560
GCA_024413095.1	ASM2441309v1	Pseudomonas savastanoi		LYR0002					PRJNA748252	SAMN29489351
GCF_024413095.1	ASM2441309v1	Pseudomonas savastanoi		LYR0002					PRJNA748252	SAMN29489351
GCA_024413415.1	ASM2441341v1	Pseudomonas savastanoi		JD01					PRJNA748252	SAMN29489343
GCF_024413415.1	ASM2441341v1	Pseudomonas savastanoi		JD01					PRJNA748252	SAMN29489343
GCA_001293725.1	Psv4352	Pseudomonas savastanoi		4352					PRJNA287079	SAMN03837775
GCF_001293725.1	Psv4352	Pseudomonas savastanoi		4352					PRJNA287079	SAMN03837775
GCA_008502015.1	ASM850201v1	Pseudomonas savastanoi		SBV_12848					PRJNA484265	SAMN09762337
GCF_008502015.1	ASM850201v1	Pseudomonas savastanoi		SBV_12848					PRJNA484265	SAMN09762337
GCA_002269885.1	ASM226988v1	Pseudomonas savastanoi		Ph3					PRJNA388575	SAMN07179224
GCF_002269885.1	ASM226988v1	Pseudomonas savastanoi		Ph3					PRJNA388575	SAMN07179224
GCA_024413515.1	ASM2441351v1	Pseudomonas savastanoi		JD03					PRJNA748252	SAMN29489344
GCF_024413515.1	ASM2441351v1	Pseudomonas savastanoi		JD03					PRJNA748252	SAMN29489344
GCA_003701725.1	ASM370172v1	Pseudomonas savastanoi		ICMP 13928					PRJNA292453	SAMN03976386
GCF_003701725.1	ASM370172v1	Pseudomonas savastanoi		ICMP 13928					PRJNA292453	SAMN03976386
GCA_003701915.1	ASM370191v1	Pseudomonas savastanoi		ICMP 17525					PRJNA292453	SAMN03976372
GCF_003701915.1	ASM370191v1	Pseudomonas savastanoi		ICMP 17525					PRJNA292453	SAMN03976372
GCA_003701775.1	ASM370177v1	Pseudomonas savastanoi		ICMP 9420					PRJNA292453	SAMN03976383
GCF_003701775.1	ASM370177v1	Pseudomonas savastanoi		ICMP 9420					PRJNA292453	SAMN03976383
