BioProject,dnaQ_cluster,mutL_cluster,mutS_cluster,mutT_cluster,mutY_cluster,uvrD_cluster,count
PRJNA274690,cluster26,cluster47,cluster52,cluster49,cluster44,cluster5,1
PRJNA274691,cluster2,cluster46,cluster48,cluster13,cluster11,cluster4,1
PRJNA278487,cluster8,cluster69,cluster88,cluster79,cluster20,cluster6,1
PRJNA280385,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA280980,cluster10,cluster14,cluster15,cluster9,cluster13,cluster5,1
PRJNA282426,cluster2,cluster11,cluster11,cluster4,cluster11,cluster9,1
PRJNA282427,cluster34,cluster12,cluster12,cluster4,cluster11,cluster4,1
PRJNA284850,cluster5,cluster10,none,cluster11,cluster10,cluster6,1
PRJNA284851,cluster38,cluster54,cluster62,cluster57,cluster52,cluster36,1
PRJNA284853,cluster11,cluster4,cluster16,cluster13,cluster2,cluster12,1
PRJNA284855,cluster11,cluster4,cluster16,cluster13,cluster2,cluster12,1
PRJNA285209,cluster11,cluster4,cluster16,cluster13,cluster2,cluster12,1
PRJNA285232,cluster11,cluster4,cluster16,cluster13,cluster2,cluster12,1
PRJNA285233,cluster2,cluster12,cluster12,cluster4,cluster11,cluster4,1
PRJNA285235,cluster1,cluster8,cluster9,cluster9,cluster1,cluster8,1
PRJNA285236,cluster34,cluster12,cluster12,cluster4,cluster11,cluster4,1
PRJNA285237,cluster1,cluster1,cluster1,cluster1,cluster1,cluster1,1
PRJNA286818,cluster40,cluster2,cluster67,cluster13,cluster55,cluster2,1
PRJNA286819,cluster10,cluster14,cluster68,cluster9,cluster13,cluster5,1
PRJNA286821,cluster37,cluster7,cluster59,cluster7,cluster7,cluster7,1
PRJNA286951,cluster8,cluster57,cluster71,cluster63,cluster58,cluster6,1
PRJNA287065,cluster2,cluster2,cluster2,cluster2,cluster2,cluster2,1
PRJNA287068,cluster39,cluster46,cluster64,cluster59,cluster54,cluster4,1
PRJNA287070,cluster21,cluster13,cluster63,cluster58,cluster53,cluster10,1
PRJNA287071,cluster2,cluster2,cluster2,cluster2,cluster2,cluster2,1
PRJNA287072,cluster2,cluster2,cluster2,cluster2,cluster2,cluster2,1
PRJNA287073,cluster2,cluster2,cluster2,cluster2,cluster2,cluster2,1
PRJNA287074,cluster2,cluster2,cluster65,cluster60,cluster2,cluster37,1
PRJNA287075,cluster2,cluster55,cluster66,cluster4,cluster11,cluster38,1
PRJNA287076,cluster5,cluster20,cluster60,cluster55,cluster6,cluster6,1
PRJNA287078,cluster3,cluster53,cluster61,cluster56,cluster51,cluster6,1
PRJNA287079,cluster2,cluster2,cluster14,cluster13,cluster11,cluster11,1
